     1	34943515	の
     2	19609102	に
     3	17575121	する
     4	16805949	は
     5	16443314	を
     6	14687332	た
     7	13647471	が
     8	13409060	年
     9	10148426	と
    10	10047273	て
    11	9019841	で
    12	7806856	だ
    13	6837982	れる
    14	6609560	月
    15	6096977	いる
    16	5726890	ある
    17	5279797	日
    18	3794424	も
    19	3125844	から
    20	3000840	なる
    21	2470297	ない
    22	2462693	こと
    23	2151298	第
    24	1928091	として
    25	1743491	や
    26	1708157	市
    27	1582851	県
    28	1517105	者
    29	1507194	など
    30	1474368	日本
    31	1396760	人
    32	1346153	ため
    33	1329575	駅
    34	1230295	この
    35	1218708	的
    36	1173719	られる
    37	1075552	その
    38	1036843	町
    39	1001309	へ
    40	927851	後
    41	909623	まで
    42	899649	よう
    43	890957	放送
    44	871717	号
    45	853160	名
    46	853063	中
    47	833846	という
    48	808186	また
    49	802495	もの
    50	760456	行う
    51	757053	一
    52	711927	回
    53	711037	部
    54	694892	時
    55	674152	家
    56	663637	か
    57	661383	リンク
    58	651900	村
    59	650770	郡
    60	648090	学校
    61	647869	より
    62	639763	できる
    63	625514	線
    64	623268	おる
    65	614054	昭和
    66	612326	東京
    67	591502	番組
    68	590204	大
    69	588334	により
    70	582839	会
    71	578811	外部
    72	574961	現在
    73	555241	画像
    74	552066	ぬ
    75	539184	区
    76	538043	による
    77	537817	二
    78	521584	国
    79	519517	テレビ
    80	518480	世界
    81	514680	関連
    82	512882	三
    83	511288	化
    84	511139	せる
    85	510339	前
    86	506663	映画
    87	501823	によって
    88	499687	作品
    89	494301	時代
    90	490398	これ
    91	488113	位
    92	479593	版
    93	476230	数
    94	475901	賞
    95	475844	本
    96	467426	型
    97	465412	州
    98	464172	分
    99	459987	上
   100	451864	話
   101	450967	元
   102	449997	登場
   103	446661	間
   104	438440	社
   105	436247	局
   106	430773	項目
   107	424796	出演
   108	419519	平成
   109	418142	地
   110	417415	目
   111	416726	道
   112	413419	曲
   113	413058	使用
   114	411119	他
   115	409161	持つ
   116	406498	場合
   117	404204	性
   118	400771	監督
   119	399939	軍
   120	396583	発売
   121	393616	選手
   122	391093	新
   123	389036	大学
   124	386956	戦
   125	385700	ば
   126	383368	代表
   127	377686	所
   128	374175	活動
   129	374165	研究
   130	371521	呼ぶ
   131	371334	機
   132	369380	系
   133	369271	う
   134	367560	内
   135	366305	情報
   136	364874	さ
   137	363662	多い
   138	363160	について
   139	362452	次
   140	360989	鉄道
   141	358758	脚注
   142	355014	等
   143	354382	において
   144	353113	時間
   145	351613	主
   146	345618	チーム
   147	342554	それ
   148	341369	初
   149	341238	のみ
   150	338734	万
   151	338558	シリーズ
   152	337726	その後
   153	335660	所属
   154	335092	役
   155	334634	受ける
   156	330264	科
   157	327321	作曲
   158	324137	出身
   159	322346	高等
   160	320607	開始
   161	316813	場
   162	315345	公式
   163	313954	学
   164	308867	しかし
   165	308439	アメリカ
   166	308159	存在
   167	306495	くる
   168	304540	作
   169	303756	車
   170	301326	大会
   171	301318	人物
   172	299462	たち
   173	298177	形
   174	297881	ゲーム
   175	297808	一覧
   176	292763	語
   177	290841	バス
   178	290458	株式会社
   179	289091	法
   180	288681	歳
   181	288150	大阪
   182	287462	いう
   183	286367	音楽
   184	285770	お
   185	284522	同
   186	283885	当時
   187	280325	事業
   188	279526	歴史
   189	277699	可能
   190	276436	教育
   191	273840	式
   192	273630	一部
   193	271748	見る
   194	271202	約
   195	270879	小学校
   196	270186	出場
   197	269741	ドラマ
   198	269738	全
   199	268332	国際
   200	267980	地域
   201	267166	開発
   202	265883	用
   203	264142	つ
   204	262206	関係
   205	260839	収録
   206	260505	事
   207	259132	明治
   208	257076	長
   209	255499	期
   210	254930	彼
   211	254349	際
   212	254344	ら
   213	253655	概要
   214	253557	使う
   215	252631	旧
   216	252560	アルバム
   217	252425	アニメ
   218	252268	声
   219	251394	および
   220	250775	会社
   221	250575	しまう
   222	250520	円
   223	246948	優勝
   224	246717	サイト
   225	246467	なお
   226	243722	における
   227	242985	南
   228	242596	設置
   229	242389	十
   230	241852	開催
   231	241043	下
   232	236596	作詞
   233	236479	北
   234	236173	度
   235	234809	巻
   236	234252	世
   237	233799	力
   238	232666	言う
   239	231696	出版
   240	231317	知る
   241	230948	王
   242	229632	変更
   243	228202	担当
   244	227475	たり
   245	227084	廃止
   246	226712	委員
   247	225464	色
   248	224659	都市
   249	223795	高
   250	223540	参加
   251	223201	利用
   252	223134	製作
   253	222977	位置
   254	222088	店
   255	221859	事件
   256	221258	中央
   257	221092	名称
   258	220405	氏
   259	219911	市立
   260	219537	一般
   261	219514	にて
   262	219432	だけ
   263	219386	級
   264	219020	都
   265	218577	以降
   266	218517	東
   267	218167	制作
   268	217709	野球
   269	214647	設立
   270	212347	センター
   271	211853	試合
   272	211406	ん
   273	211359	番
   274	211156	高い
   275	210501	中心
   276	210385	番号
   277	209495	年度
   278	209110	年代
   279	209006	機関
   280	208388	発表
   281	207803	その他
   282	206974	以上
   283	206893	同じ
   284	206837	現
   285	205093	問題
   286	204508	代
   287	203454	ドイツ
   288	202451	いく
   289	202311	編
   290	201904	参考
   291	201888	子
   292	201441	及び
   293	200806	道路
   294	200554	郵便
   295	199986	地方
   296	199888	用いる
   297	199541	社会
   298	198570	記録
   299	198138	多く
   300	198091	リーグ
   301	197067	種
   302	196277	中学校
   303	195437	金
   304	195213	路線
   305	194566	点
   306	194299	中国
   307	192930	総
   308	192824	以下
   309	192278	体
   310	191865	プロ
   311	190984	島
   312	190900	施設
   313	190680	編曲
   314	190642	人口
   315	189828	丁目
   316	189008	文献
   317	188746	文化
   318	188340	別
   319	187467	同年
   320	186661	側
   321	186378	攻撃
   322	185637	女性
   323	185254	西
   324	184871	京都
   325	183360	ラジオ
   326	182983	入る
   327	182727	さらに
